Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,alpha,beta,gamma,delta
rc101_3,37,100,6,1873,793,703,377,239,4,2199,0.0045697689056396484,[1873],1.0237554381621505,-0.04372149383349483,-0.3252963204687186,1.0585084073610718
rc101_3,38,100,6,3466,840,714,1912,237,4,2188,0.0040285587310791016,[3466],0.7877727247162517,-0.16194215408848267,1.260742542200867,-0.8454079936504526
rc101_3,39,100,6,1895,855,707,333,237,4,2195,0.0031456947326660156,[1895],0.4357730747355497,-1.276055693824004,0.6875994447368465,0.7428721287767838
rc101_3,40,100,6,1652,676,710,266,231,3,2192,0.002488374710083008,[1652],1.0879295658185033,-0.09822399827827144,-0.34665817683480704,0.7864520094275429
rc101_3,41,100,6,1622,647,709,266,239,3,2193,0.0023643970489501953,[1622],1.4634345512060039,-1.018105865413613,-0.28708701930957214,1.0153486227104898
rc101_3,42,100,6,3276,729,613,1934,238,4,2289,0.0029692649841308594,[3276],0.54358848644876,0.4621680130106276,-1.2136393542746933,-1.1985747080929914
rc101_3,43,100,6,1749,671,716,362,239,3,2186,0.004233598709106445,[1749],2.059589130877997,-1.695366300303445,0.9772429145646035,0.3487309304148575
rc101_3,44,100,6,1958,856,681,421,238,4,2221,0.0029587745666503906,[1958],0.8069756021976093,1.453423382241777,-1.6836986237970468,0.37958011235336414
rc101_3,45,100,6,1682,680,692,310,238,3,2210,0.002387523651123047,[1682],0.621133148709077,0.4689208967185773,-1.5118580964227177,0.061616756846214316
rc101_3,46,100,6,1957,901,723,333,240,4,2179,0.002965688705444336,[1957],0.4409957786461902,0.5400100913021557,-1.6144334734351977,1.9104832495175017
rc101_3,47,100,6,2219,1090,685,444,237,5,2217,0.004221916198730469,[2219],0.8311840261663905,-0.68442523328162,1.251388070339228,1.2353780973573705
rc101_3,48,100,6,1852,805,714,333,239,4,2188,0.0032575130462646484,[1852],0.5839343967976328,0.013430975001283096,-0.9788007870666271,1.138522334101487
rc101_3,49,100,6,2044,943,724,377,238,4,2178,0.002748727798461914,[2044],0.8069983916596403,-1.064665481031126,-2.2772126626089344,0.5980451948126573
pr8_2,0,144,6,408347,8347,0,400000,1970,5,14400,0.0048792362213134766,[408347],0.5926385075087797,-2.2008033404545744,-1.1273321780291607,0.25617951971623754
pr8_2,1,144,6,408589,8589,0,400000,1973,5,14400,0.004966020584106445,[408589],0.38383172729677606,-1.4552572772208705,-1.2349917060624274,1.3607599234899446
pr8_2,2,144,6,408506,8506,0,400000,1989,5,14400,0.008408069610595703,[408506],1.4174946389093876,-1.997570750550961,-0.5378820617181468,-0.13236238938867206
pr8_2,3,144,6,408241,8241,0,400000,1989,5,14400,0.008687973022460938,[408241],0.35194550953792164,-1.3591494464551643,-0.5674110550112327,0.9768712345998303
pr8_2,4,144,6,408134,8134,0,400000,1999,5,14400,0.008669614791870117,[408134],1.7019075905727339,-0.8947550845780566,-0.5871041198690579,0.5466677777143715
pr8_2,5,144,6,408783,8783,0,400000,1980,5,14400,0.005049467086791992,[408783],1.1045741222813594,0.23695773946023624,0.2864273744491541,1.3930522607169795
pr8_2,6,144,6,408229,8229,0,400000,1997,5,14400,0.004922151565551758,[408229],1.6890601232925218,-1.4942812942036954,0.8179609889426767,1.0330962617286812
pr8_2,7,144,6,408413,8413,0,400000,1976,5,14400,0.004833698272705078,[408413],0.39942847912817775,-0.411181245365208,-0.2891260614250617,0.09849718216596476
pr8_2,8,144,6,408762,8762,0,400000,1963,5,14400,0.0049686431884765625,[408762],1.519595083509926,-1.277257810614719,-0.09258420996586098,3.301082081706804
pr8_2,9,144,6,408614,8614,0,400000,1992,5,14400,0.004906415939331055,[408614],1.4540567269648181,-1.1280578246069322,-0.5632166764105347,0.43112642536128853
pr8_2,10,144,6,408064,8064,0,400000,1976,5,14400,0.004738330841064453,[408064],0.6176238325110711,-1.4208275196883107,-0.5951829604526375,-1.5497090195642893
pr8_2,11,144,6,408147,8147,0,400000,1974,5,14400,0.004946231842041016,[408147],1.1091882783419176,-0.4770928995688134,0.19164938802747833,1.6981271149146229
pr8_2,12,144,6,408304,8304,0,400000,1997,5,14400,0.004857540130615234,[408304],2.076913142268796,1.160429660547773,0.10580713440268452,0.5690836180759705
pr8_2,13,144,6,408300,8300,0,400000,1985,5,14400,0.00925445556640625,[408300],1.2049830399693726,1.245680053644268,-2.5330100580832884,1.5884511458260275
pr8_2,14,144,6,408553,8553,0,400000,1992,5,14400,0.006234645843505859,[408553],0.6810245199493672,-0.3203556601568597,-1.8002805371247355,1.5390118106220023
pr8_2,15,144,6,408152,8152,0,400000,1998,5,14400,0.004647254943847656,[408152],1.9803388794258074,-2.441534652476671,-1.0119619181828217,0.2496005081951725
pr8_2,16,144,6,408038,8038,0,400000,1964,5,14400,0.0059967041015625,[408038],1.5467238890170174,-3.007152195746848,-1.1210541805218015,1.823618933528728
pr8_2,17,144,6,408598,8598,0,400000,1993,5,14400,0.008559703826904297,[408598],1.253360408329212,2.2165722386598206,-1.2030960841860239,-1.1153166468093942
pr8_2,18,144,6,408205,8205,0,400000,1970,5,14400,0.004950284957885742,[408205],2.2926441475738883,-0.2965925587060931,-0.714892590774745,1.7797653997261098
pr8_2,19,144,6,408243,8243,0,400000,1994,5,14400,0.005013704299926758,[408243],0.7876776616072898,-0.6093082513920614,0.5175760298673575,0.8571519890601531
pr8_2,20,144,6,408447,8447,0,400000,1984,5,14400,0.0051174163818359375,[408447],1.6183360922234393,-1.401609994298066,-0.3783554297591171,-0.6383634612346072
