type,saw_policy,population_size,random_k,alpha,beta,rho,p,local_information,min_max_ant_system,termination_criterion,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,23,rand_test_3,20230104:06:29:04,[693242961.25;693242961.25;693242961.25;693242961.25;693242961.25;693242961.25;693242961.25;693242961.25;693242961.25;693242961.25]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,23,rand_test_3,20230104:06:43:29,[693243198.8375;693243198.8375;693243198.8375;693243198.8375;693243198.8375;693243198.8375;693243198.8375;693243198.8375;693243198.8375;693243198.8375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,24,rand_test_13,20230104:06:50:36,[610339606.75;610339606.75;610339606.75;610339606.75;610339606.75;610339606.75;610339606.75;610339606.75;610339606.75;610339606.75]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,24,rand_test_13,20230104:06:57:17,[610339822.0625;610339822.0625;610339822.0625;610339822.0625;610339822.0625;610339822.0625;610339822.0625;610339822.0625;610339822.0625;610339822.0625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,24,rand_test_13,20230104:07:10:31,[610339294.125;610339294.125;610339294.125;610339294.125;610339294.125;610339294.125;610339294.125;610339294.125;610339294.125;610339294.125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,24,rand_test_13,20230104:07:22:49,[610340153.875;610340153.875;610340153.875;610340153.875;610340153.875;610340153.875;610340153.875;610340153.875;610340153.875;610340153.875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,25,rand_test_4,20230104:07:30:55,[819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501;819089311.3312501]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,25,rand_test_4,20230104:07:39:01,[819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9;819089688.9]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,25,rand_test_4,20230104:07:53:42,[819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001;819088274.1125001]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,25,rand_test_4,20230104:08:08:15,[819088148.85625;819088148.85625;819088148.85625;819088148.85625;819088148.85625;819088148.85625;819088148.85625;819088148.85625;819088148.85625;819088148.85625]
