type,saw_policy,percentage_replaced,population_size,neighborhoods,tournament_k,random_k,termination_criterion,alpha,beta,gamma,delta,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:20:16:43,[598399289.8125;598084409.5;597679911.0625;598277198.6875;598007667.375;597990921.125;598938667.375;598826426.6875;597718336.1875;598215096.5625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:20:28:55,[597898411.875;598537783.625;598120332.25;598483072.6875;597423927.625;598377727.5625;598088929.3125;597616078.5625;598720569.3125;598650629.0]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:20:39:21,[598292787.9375;598422939.375;598213283.8125;598801058.75;598908836.375;598692004.8125;598659508.5625;598768517.0625;598711187.8125;597496968.3125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:20:50:36,[598387003.1875;598485632.5625;597985559.625;598062590.4375;597779809.8125;599068129.5625;598473977.8125;598089527.5;598186761.5;597220352.875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:21:01:56,[597291583.625;596971461.0;597776379.0;598245719.25;597912820.0;598420895.5625;597830709.0625;598545517.125;597116483.375;598327092.625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:21:12:40,[597184225.3125;597753644.125;598419184.375;598261760.25;597874832.4375;598343461.4375;598360273.4375;598622344.375;597613621.9375;597583510.9375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:21:22:42,[598229700.125;598370472.1875;599274963.5625;597768100.0625;598235915.4375;598547202.1875;597893257.25;598113490.9375;598363632.5;597933546.625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:21:33:43,[598124802.4375;598637042.8125;598464518.0;598022538.625;598633814.625;597991849.25;597462823.6875;598341552.125;598465748.0;598014297.125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:21:44:58,[598125680.5625;598191371.25;597972556.9375;598639224.875;598223894.125;598516240.9375;598768814.625;597968766.25;597434043.375;598823762.4375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:21:55:25,[598184884.0625;598307239.3125;597657090.3125;598035394.875;598786284.25;598060391.375;598684016.9375;597968955.75;598192940.25;597956851.6875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:22:05:50,[597520068.75;598062483.1875;597805060.6875;598365686.25;597803792.0;597464337.4375;598211352.6875;598767473.0625;597914789.625;597675528.375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:22:17:50,[598149335.625;598581145.1875;597648369.1875;597958508.5;598373996.0625;597536368.5625;597920541.9375;598180732.625;597991963.3125;598084922.5]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:22:30:07,[598405876.0;598910753.5;598034924.3125;596825874.5;598057521.0;597827009.125;598016004.9375;598063879.0;598884809.5;598775602.875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:22:42:02,[598352829.5;597831699.125;598544974.0;597354940.5625;599207222.3125;598331532.9375;598364124.8125;597822170.8125;597877066.875;598885474.625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:22:54:49,[598244309.0;598238872.1875;597586058.3125;598493690.3125;597701605.625;598337014.6875;598303643.0625;598398632.625;598526399.75;598256438.0]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230103:23:04:57,[681611353.84375;682388173.51875;681864923.61875;681795445.66875;681928420.1;682168148.11875;681564325.56875;682056626.7875;682031875.55625;682452588.725]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230103:23:17:03,[682192268.8125;682828816.28125;682034701.05625;682417884.8;682004673.125;681916089.375;682520553.65625;681587291.4375;682398514.4375;682058303.56875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230103:23:28:42,[682340358.43125;682534754.29375;682204660.73125;682479421.30625;682367824.8625;682319046.01875;682651739.0;682428080.15625;682543704.53125;682373869.74375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230103:23:39:33,[682071227.6;682380022.65625;682281415.75625;682142549.48125;682488846.86875;682218717.76875;681977643.8375;682105158.35625;682651084.40625;682494858.275]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230103:23:49:11,[682447432.65625;681691929.875;682165791.33125;682252519.71875;682271031.44375;682229427.1625;682269422.125;682296614.33125;682216215.4375;682333507.55625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:00:00:19,[682314797.5125;682096877.975;682710535.1125;682453595.6375;682572025.0625;682098294.0375;682544531.59375;682480400.0375;682307389.65625;682441042.425]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:00:10:52,[681747649.4875;682502554.2625;682384811.19375;682331917.825;682377943.04375;681927296.55625;682703778.85625;682165154.325;682476692.6375;682392980.6875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:00:21:37,[682201794.4125;682164011.9375;682100366.33125;682108354.54375;682605368.54375;682640529.34375;682730534.84375;681262814.625;682426817.04375;682474925.96875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:00:33:27,[681343133.56875;682393079.5625;682735803.3625;681640268.24375;682178113.08125;682297962.93125;682289304.61875;682179327.81875;682234703.81875;682336110.3]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:00:43:49,[682062910.8125;682221816.58125;682118972.5125;682273220.675;682296524.45625;682509427.625;682551503.9125;682639068.40625;682315688.03125;682584944.6375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:00:56:43,[682249256.08125;682226959.4875;682449104.83125;682401099.2875;682698846.09375;682372270.725;682500282.70625;682127107.6375;682071032.5125;682460653.3875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:01:07:03,[682470080.04375;682473809.74375;682396185.825;682050038.96875;681900802.7;682552424.65;682128246.3125;682405207.9625;682581438.29375;681790298.41875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,3,rand_test_3,20230104:01:18:14,[682023917.76875;681198197.83125;682667487.85;682594366.825;682311678.18125;682288922.8375;682350580.73125;682103764.7875;682374439.15;682012682.21875]
