Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
rc101_1,11,10,2,100309,309,0,100000,221,2,1000,0.0003383159637451172,[100309]
rc101_1,12,10,2,100305,305,0,100000,210,2,1000,0.0003647804260253906,[100305]
rc101_1,13,10,2,100458,458,0,100000,236,2,1000,0.0003750324249267578,[100458]
rc101_1,14,10,2,100268,268,0,100000,163,2,1000,0.0004620552062988281,[100268]
rc101_1,15,10,2,100456,456,0,100000,239,2,1000,0.0004553794860839844,[100456]
rc101_1,16,10,2,100316,316,0,100000,221,2,1000,0.000415802001953125,[100316]
rc101_1,17,10,2,100273,273,0,100000,235,2,1000,0.0003409385681152344,[100273]
rc101_1,18,10,2,200505,505,0,200000,235,3,1000,0.00046825408935546875,[200505]
rc101_1,19,10,2,100451,451,0,100000,240,2,1000,0.0003764629364013672,[100451]
rc101_1,20,10,2,100403,403,0,100000,208,2,1000,0.00042438507080078125,[100403]
rc101_1,21,10,2,100315,315,0,100000,239,2,1000,0.000560760498046875,[100315]
rc101_1,22,10,2,200526,526,0,200000,232,3,1000,0.00046253204345703125,[200526]
rc101_1,23,10,2,100452,452,0,100000,228,2,1000,0.000335693359375,[100452]
rc101_1,24,10,2,100315,315,0,100000,227,2,1000,0.000354766845703125,[100315]
rc101_1,25,10,2,100344,344,0,100000,188,2,1000,0.0003268718719482422,[100344]
rc101_1,26,10,2,100463,463,0,100000,235,2,1000,0.00042176246643066406,[100463]
rc101_1,27,10,2,100311,311,0,100000,223,2,1000,0.00034308433532714844,[100311]
rc101_1,28,10,2,100309,309,0,100000,233,2,1000,0.0004146099090576172,[100309]
rc101_1,29,10,2,100297,297,0,100000,202,2,1000,0.0003342628479003906,[100297]
rc101_1,30,10,2,100308,308,0,100000,213,2,1000,0.00036072731018066406,[100308]
rc101_1,31,10,2,100307,307,0,100000,231,2,1000,0.00037980079650878906,[100307]
rc101_1,32,10,2,100439,439,0,100000,236,2,1000,0.0003933906555175781,[100439]
rc101_1,33,10,2,100292,292,0,100000,197,2,1000,0.0004630088806152344,[100292]
rc101_1,34,10,2,100455,455,0,100000,238,2,1000,0.0003323554992675781,[100455]
rc101_1,35,10,2,100265,265,0,100000,160,2,1000,0.0003705024719238281,[100265]
rc101_1,36,10,2,100301,301,0,100000,213,2,1000,0.0003509521484375,[100301]
rc101_1,37,10,2,100467,467,0,100000,236,2,1000,0.0002868175506591797,[100467]
rc101_1,38,10,2,100421,421,0,100000,218,2,1000,0.0004363059997558594,[100421]
rc101_1,39,10,2,100307,307,0,100000,231,2,1000,0.00044465065002441406,[100307]
rc101_1,40,10,2,100289,289,0,100000,184,2,1000,0.0004382133483886719,[100289]
rc101_1,41,10,2,100460,460,0,100000,235,2,1000,0.00044608116149902344,[100460]
rc101_1,42,10,2,100295,295,0,100000,207,2,1000,0.0003349781036376953,[100295]
rc101_1,43,10,2,100303,303,0,100000,215,2,1000,0.0003476142883300781,[100303]
rc101_1,44,10,2,100420,420,0,100000,229,2,1000,0.0003979206085205078,[100420]
rc101_1,45,10,2,100263,263,0,100000,158,2,1000,0.00044274330139160156,[100263]
rc101_1,46,10,2,100309,309,0,100000,214,2,1000,0.0003566741943359375,[100309]
